YAI;;;CEL;;Internal Data Store
YAI;;;DOC;;Third-party Product Documentation
YAI;;;OGI;;OSGi Platform
YAI;;;PIE;;webMethods Integration Server
YAI;;;SPM;;webMethods Platform Manager
YAI;;;TPP;;webMethods Shared Third Party Jars
YAI;;;TPS;;webMethods Shared Third Party Bundles
YAI;;;WSC;;webMethods Shared Components
YAI;;;WSS;;Web Services Stack
YAI;;;DOC;;Third-party Product Documentation
YAI;;;TPP;;webMethods Shared Third Party Jars
YAI;;;WSC;;webMethods Shared Components
YAI;;;WSS;;Web Services Stack
YAI;;;TPS;;webMethods Shared Third Party Bundles
YAI;;;PIE;;webMethods Integration Server
YAI;;;SPM;;webMethods Platform Manager
YAI;;;OGI;;OSGi Platform
YAI;;;AIC;;Software AG Installer Always Installed Components
YAI;;;CEL;;Internal Data Store
YAP;;;AIC;;Software AG Installer Always Installed Components
YAP;;;DOC;;Third-party Product Documentation
YAP;;;YAP;;webMethods API Portal
YCS;;;JSI;;MashZone NextGen for Aware
YCZ;;;TAE;;Terracotta Enterprise Ehcache
YCZ;;;TAE;;Terracotta Enterprise Ehcache
YPI;;;EDA;;Event Routing
YPI;;;NUM;;Software AG Universal Messaging
YPI;;;TPP;;webMethods Shared Third Party Jars
YPI;;;TAE;;Terracotta Enterprise Ehcache
YPI;;;TAE;;Terracotta Enterprise Ehcache
YPI;;;TAE;;Terracotta Enterprise Ehcache
ZAD;;;AIC;;Software AG Installer Always Installed Components
ZIS;;;ZAD;;Zementis Server
ZIS;;;AIC;;Software AG Installer Always Installed Components
ZIS;;;PIE;;webMethods Integration Server
ZUP;;;AIC;;Software AG Installer Always Installed Components
A11;;;A12;;
A12;;;A13;;
A13;;;A14;;
A12;;;A15;;
